Name	foldEnrichment
chr16:46432028-46436247	3.3
chr10:42596589-42600681	3.22
chr18:105512-112651	3.98
chrUn_gl000225:126650-139592	9.2
chr21:9825341-9827813	9.94
chr1:161415797-161422323	12.21
chrUn_gl000225:114837-126635	10.99
chrUn_gl000228:114839-121228	4.37
chrUn_gl000225:89640-100210	7.25
chr19:37785413-37794599	9.92
chrUn_gl000225:79775-88788	7.22
chrUn_gl000225:106311-114619	11.75
chr19:41103810-41109089	31.98
chrUn_gl000216:158093-165407	7.91
chr21:28214448-28219438	42.37
chr1:234741381-234749130	22.31
chr19:10526752-10533359	26.9
chrUn_gl000225:64540-71773	6.25
chrY:58981519-58993029	7.53
chr1:161409529-161415589	12.92
chrY:13478916-13486983	4.77
chr1:873209-881413	42.77
chrUn_gl000225:45325-52536	5.97
chr22:32598226-32603721	42.62
chr19:30015055-30020730	21.11
chr5:43039475-43043787	23.02
chr17:42294825-42300634	32.35
chr19:11491221-11495438	35.25
chr16:29817662-29824600	32.35
chr1:2684927-2691742	15.15
chr21:45716968-45723908	25.22
chr5:139421013-139423820	40.29
chr1:152079778-152085580	19.88
chrY:13464270-13470853	6.11
chr17:27915307-27921829	26.07
chr1:228644609-228647683	39.54
chr5:176829198-176832075	38.19
chr17:27051274-27056477	42.6
chr19:39901585-39906574	24.77
chr11:189356-190672	30.67
chr19:33791780-33796190	26.93
chr17:41399476-41401301	5.18
chr16:729976-736895	31.47
chr1:226735290-226739389	42.05
chr19:35755256-35761384	37.66
chr1:47901927-47904486	62.76
chr10:80825842-80830811	44.32
chr15:70387621-70391844	24.85
chr19:35999830-36005608	21.11
chr17:74378540-74384092	16.49
chr22:21737408-21740090	62.81
chr12:49689196-49692388	24.67
chr5:176880855-176883924	37.33
chr1:1239633-1247202	17.44
chr8:37550078-37556446	21.92
chr17:43661018-43664405	24.07
chrUn_gl000225:10402-15020	4
chr14:19640249-19643435	26.77
chr5:133859572-133863872	21.36
chr19:39338773-39342924	24.13
chr22:22292141-22294667	47.8
chr5:73935188-73938188	42.14
chr19:33666521-33669092	20.24
chr1:240254382-240257616	25.57
chr1:228327097-228329034	58
chr10:46951144-46952350	33.24
chr12:122230103-122233599	32.46
chr9:89560036-89562741	44.38
chr19:36206886-36209508	24.44
chr21:38070524-38074394	18.42
chr17:54669651-54672523	37.76
chr6:43736858-43741700	22.35
chr2:243153393-243155226	51.19
chr17:8023182-8029579	40.47
chr5:115907495-115911042	21.4
chr17:32905680-32910382	49.82
chr10:102503218-102507195	15.3
chr5:172196937-172199958	35.34
chr6:32935012-32941784	27.34
chr7:302539-304307	37.92
