Name	foldEnrichment
chr17:32526899-32527640	123.43
chr21:41757924-41758651	120.13
chr9:30065864-30066293	116.82
chr16:88905355-88906166	111.61
chr21:41884186-41885047	109.11
chr9:112081165-112083776	107.55
chr4:161581292-161581967	104.7
chr12:46122191-46123840	104.29
chr6:53036418-53037283	101.68
chr7:143042272-143043142	101.07
chr7:123671945-123673840	98.86
chr1:5574361-5575215	97.77
chr11:123451027-123452140	95.37
chr22:47826254-47826860	94.78
chr13:53541908-53542806	93.86
chr2:220406039-220407008	93.46
chr2:220507079-220507795	93.31
chr6:29039640-29040533	93.26
chr1:34098495-34099281	93.21
chr1:5805606-5806444	93
chr2:1783066-1785002	91.25
chr20:49204447-49205303	90.72
chr6:15691256-15692147	90.6
chr20:24141033-24141614	89.27
chr12:96312149-96312881	89.27
chr11:44915301-44916209	89.25
chrX:132926249-132926991	89.11
chr15:80145815-80146236	88.81
chr1:114888443-114889555	88.74
chr7:4837716-4838337	88.64
chr7:1032497-1033509	88.29
chr5:110493761-110494211	87.55
chr1:144917753-144918426	87.1
chr20:59804114-59804685	86.91
chr8:141403701-141404420	86.24
chr19:5086244-5087418	86.04
chr21:9909484-9910078	85.96
chr7:1595662-1596521	85.31
chr22:50714200-50715295	85.14
chr15:82737056-82738421	84.86
chr9:101569532-101571285	84.86
chr6:151996854-151997669	84.47
chr12:45342338-45343100	84.3
chr10:131987816-131989049	84.19
chr13:99492156-99493319	83.76
chr1:55609340-55609973	83.76
chr13:29936880-29937487	83.76
chr1:114416922-114417831	83.76
chr2:178770800-178771389	83.76
chr21:27173330-27174269	83.55
chr17:34090662-34092160	83.43
chr8:86375197-86376910	83.28
chr8:144483165-144483982	83.1
chr1:211871714-211872440	83.02
chrX:104166379-104167415	82.8
chr2:210288143-210289586	82.66
chr9_gl000198_random:85686-86595	82.56
chr21:41238798-41239849	82.46
chr22:43456047-43456840	82.21
chr3:46530071-46530953	82.05
chrX:12789317-12790103	81.84
chr16:14796689-14797814	81.65
chr11:123447451-123448073	81.6
chr9:120249525-120250339	81.55
chr10:48398216-48399173	81.24
chr3:51671895-51672555	81.22
chr1:110596290-110597043	80.96
chr6:29720053-29721446	80.91
chr6:71665027-71667417	80.7
chr11:36768388-36769238	80.68
chr21:39498619-39499476	80.52
chr3:159942824-159944367	80.51
chr10:8486399-8487170	80.51
chr6:74385045-74385644	80.39
chr15:83113427-83114617	79.95
chr11:66635846-66636846	79.61
chr5:68303536-68304224	79.45
chr4:7337466-7338346	79.35
chr14:22336496-22337205	79.35
chr10:61568918-61569738	79.35
chr5:38515546-38516103	79.15
chr12:52214025-52215108	78.76
chr11:65585221-65586073	78.76
chr4:6009432-6010553	78.65
chr5:129103501-129104182	78.25
chr1:209775189-209775799	78.25
chr13:30046256-30046832	78.25
chr10:97989200-97989679	78.21
chr8:27283515-27284197	78.21
chr2:70874781-70875432	78
chr7:150869431-150870397	77.79
chr11:74951496-74953355	77.59
chr16:28761023-28762327	77.4
chr11:64661497-64662306	77.4
chr20:25274630-25278914	77.21
chr4:103266481-103267199	77.21
chr6:106532414-106533049	77.17
chr8:32405204-32407002	77.15
chr9:136019409-136020490	77.13
chr12:97542541-97543230	77.13
chr16:47175356-47176175	76.91
chr11:116603264-116603840	76.74
chr1:163041284-163041994	76.68
chr14:90865587-90866573	76.61
chr1:88645960-88646838	76.35
chr18:19535831-19536543	76.31
chr18:96336-97854	76.21
chr10:86024327-86024860	76.21
chr1:159130809-159131253	76.04
chr1:3347403-3348594	75.77
chr20:20348112-20350955	75.61
chr5:147202135-147202810	75.61
chr4:87843454-87844113	75.42
chr3:38038277-38038797	75.28
chr2:202968829-202969410	75.21
chr3:47878661-47879800	75.11
chr4_gl000194_random:55637-56641	74.94
chr14:74974982-74975700	74.94
chr3:98376155-98376842	74.94
chr6:156885263-156886046	74.89
chr2:242641679-242643037	74.84
chrX:154277042-154277803	74.75
chr2:71098469-71099419	74.74
chr9:95921963-95922858	74.74
chr12:108522622-108524904	74.59
chr17:15731910-15732618	74.49
chr11:179939-180584	74.49
chr6:148899077-148899890	74.3
chr1:112912008-112912864	74.29
chr8:143528563-143529780	74.2
chr2:109252554-109253398	74.2
chr7:55432906-55434523	74.07
chr7:98049996-98050965	74.04
chr12:29470511-29471254	74.04
chrX:139815695-139816461	73.87
chr20:19192055-19194131	73.84
chr8:110462999-110463496	73.84
chr2:78182075-78182454	73.84
chr22:43784063-43784882	73.83
chr16:75267618-75268688	73.8
chr12:13408424-13409297	73.65
chr1:147553333-147553882	73.65
chr15:82986734-82987642	73.64
chr22:18927722-18928474	73.61
chr3:194722497-194723310	73.56
chr5:107977843-107978386	73.39
chr11:65989920-65990844	73.33
chrX:152665523-152666213	73.33
chr9:33466361-33467119	73.22
chr1:17312840-17314153	73.11
chr12:54973486-54974054	72.88
chr11:131543669-131544406	72.78
chr2:233199739-233200471	72.78
chr21:46548027-46549177	72.63
chr11:16809650-16810312	72.63
chr2:44706353-44706924	72.63
chr20:3765893-3768052	72.58
chr1:208155054-208155942	72.43
chr10:133976807-133977625	72.42
chr12:131310727-131311383	72.42
chr6:41651073-41651973	72.25
chr11:47376474-47377794	72.21
chr2:114361335-114362637	72.19
chr18:55548853-55549623	72.13
chr20:1484013-1484829	71.71
chr11:58938901-58940724	71.7
chr1:201481002-201482971	71.7
chr19:18976953-18977914	71.7
chr15:79888317-79889016	71.64
chr8:56923067-56923534	71.64
chr11:15841018-15841828	71.56
chr1:237836066-237836556	71.49
chr5:70014799-70016496	71.48
chr19:17607000-17607744	71.44
chr22:37252184-37253014	71.41
chr15:84975771-84977387	71.35
chr17:45741450-45742200	71.34
chr9:10631-12517	71.26
chr22:39238931-39240955	71.21
chr13:28107245-28107921	71.2
chr4:9382824-9383497	71.17
chr15:34659296-34660303	70.97
chr22:17538753-17539659	70.97
chr19:46386349-46387136	70.87
chr2:175200645-175202781	70.68
chr22:29550115-29551047	70.66
chr7:50485624-50486355	70.61
chr16:13959736-13960419	70.53
chr7:143002360-143003136	70.53
chrX:27354472-27355043	70.53
chr16:58767434-58768664	70.25
chr9:95396861-95397533	70.07
chr10:129947967-129948935	69.95
chr10:45348578-45349138	69.92
chr4:56212078-56213302	69.86
chr20:37522092-37523450	69.55
chr22:41972727-41973596	69.52
chr16:9232781-9233528	69.52
chr21:40083739-40084636	69.52
chr6:143748162-143748878	69.52
chr17:2689296-2690190	69.47
chr9:97889645-97890404	69.45
chr16:19177749-19181120	69.44
chr12:74415555-74416237	69.43
chr2:75867516-75868212	69.43
chr6:8983134-8984008	69.39
chr4:187867783-187868273	69.34
chr7:150820783-150821599	69.04
chr9:135897568-135898212	68.95
chr10:124802875-124803530	68.89
chr19:15287904-15289172	68.83
chr2:113956215-113957278	68.8
chr20:31377723-31378551	68.8
chrX:65250598-65251406	68.66
chr6:152085244-152085913	68.66
